Name,Path,File type,Cyclomatic Complexity,Total lines,Empty Lines,Effective Lines,Comment Lines
CVTRA06Y.cpy,demo/cpy/CVTRA06Y.cpy,CPY,0,22,1,15,6
cardxref.txt,demo/data/ASCII/cardxref.txt,UNKNOWN,0,50,0,50,0
COCRDLI.CPY,demo/cpy-bms/COCRDLI.CPY,CPY,0,561,1,544,16
CVACT02Y.cpy,demo/cpy/CVACT02Y.cpy,CPY,0,15,1,8,6
COSGN00.CPY,demo/cpy-bms/COSGN00.CPY,CPY,0,153,1,136,16
CVACT03Y.cpy,demo/cpy/CVACT03Y.cpy,CPY,0,12,1,5,6
COTRN02C.cbl,demo/cbl/COTRN02C.cbl,COB,87,784,83,616,85
CVTRA02Y.cpy,demo/cpy/CVTRA02Y.cpy,CPY,0,14,1,7,6
CSUTLDWY.cpy,demo/cpy/CSUTLDWY.cpy,CPY,0,90,2,82,6
COADM02Y.cpy,demo/cpy/COADM02Y.cpy,CPY,0,63,1,36,26
CORPT00.CPY,demo/cpy-bms/CORPT00.CPY,CPY,0,225,1,208,16
COCOM01Y.cpy,demo/cpy/COCOM01Y.cpy,CPY,0,48,1,26,21
CODATECN.cpy,demo/cpy/CODATECN.cpy,CPY,0,53,1,36,16
CVTRA01Y.cpy,demo/cpy/CVTRA01Y.cpy,CPY,0,14,1,7,6
COUSR01.CPY,demo/cpy-bms/COUSR01.CPY,CPY,0,165,1,148,16
COCRDSL.CPY,demo/cpy-bms/COCRDSL.CPY,CPY,0,201,1,184,16
COBSWAIT.cbl,demo/cbl/COBSWAIT.cbl,COB,1,42,6,14,22
CSSTRPFY.cpy,demo/cpy/CSSTRPFY.cpy,CPY,30,86,1,63,22
COTRN01.CPY,demo/cpy-bms/COTRN01.CPY,CPY,0,273,1,256,16
COACTVW.CPY,demo/cpy-bms/COACTVW.CPY,CPY,0,465,1,448,16
CSDAT01Y.cpy,demo/cpy/CSDAT01Y.cpy,CPY,0,59,1,39,19
CVCRD01Y.cpy,demo/cpy/CVCRD01Y.cpy,CPY,0,47,2,34,11
CVTRA04Y.cpy,demo/cpy/CVTRA04Y.cpy,CPY,0,13,1,6,6
custdata.txt,demo/data/ASCII/custdata.txt,UNKNOWN,0,50,0,50,0
CUSTREC.cpy,demo/cpy/CUSTREC.cpy,CPY,0,27,1,20,6
COMEN01.CPY,demo/cpy-bms/COMEN01.CPY,CPY,0,261,1,244,16
CVTRA07Y.cpy,demo/cpy/CVTRA07Y.cpy,CPY,0,74,9,59,6
COMEN02Y.cpy,demo/cpy/COMEN02Y.cpy,CPY,0,102,15,65,22
CSUTLDPY.cpy,demo/cpy/CSUTLDPY.cpy,CPY,46,376,33,290,53
CSMSG02Y.cpy,demo/cpy/CSMSG02Y.cpy,CPY,0,36,3,10,23
COCRDUP.CPY,demo/cpy-bms/COCRDUP.CPY,CPY,0,225,1,208,16
COTRN00.CPY,demo/cpy-bms/COTRN00.CPY,CPY,0,729,1,712,16
CBACT01C.cbl,demo/cbl/CBACT01C.cbl,COB,45,431,22,358,51
CSUSR01Y.cpy,demo/cpy/CSUSR01Y.cpy,CPY,0,27,1,7,19
COUSR03C.cbl,demo/cbl/COUSR03C.cbl,COB,32,360,46,251,63
CVEXPORT.cpy,demo/cpy/CVEXPORT.cpy,CPY,0,104,6,72,26
CBTRN01C.cbl,demo/cbl/CBTRN01C.cbl,COB,64,495,34,416,45
